Price,Close,High,Low,Open,Volume
Ticker,002664.SZ,002664.SZ,002664.SZ,002664.SZ,002664.SZ
Date,,,,,
2025-05-14,18.899999618530273,19.489999771118164,18.610000610351562,19.329999923706055,18829842
2025-05-15,20.790000915527344,20.790000915527344,18.5,18.950000762939453,28844242
2025-05-16,21.65999984741211,22.670000076293945,20.280000686645508,20.790000915527344,78356257
2025-05-19,21.5,21.690000534057617,19.969999313354492,20.989999771118164,49118094
2025-05-20,20.469999313354492,21.299999237060547,20.399999618530273,21.0,37872647
2025-05-21,19.739999771118164,20.59000015258789,19.5,20.170000076293945,29957700
2025-05-22,19.559999465942383,19.959999084472656,19.299999237060547,19.610000610351562,17091880
2025-05-23,20.420000076293945,21.059999465942383,20.25,20.5,39679000
2025-05-26,21.219999313354492,21.65999984741211,19.989999771118164,20.530000686645508,41724900
2025-05-27,20.899999618530273,21.15999984741211,20.399999618530273,20.93000030517578,24331300
2025-05-28,22.139999389648438,22.989999771118164,20.899999618530273,21.020000457763672,54445507
2025-05-29,22.059999465942383,23.18000030517578,21.75,22.549999237060547,34950810
2025-05-30,21.360000610351562,21.979999542236328,20.850000381469727,21.84000015258789,25051300
2025-06-03,21.8700008392334,22.520000457763672,21.049999237060547,21.059999465942383,24797100
2025-06-04,22.40999984741211,22.899999618530273,21.799999237060547,21.799999237060547,27747620
2025-06-05,22.239999771118164,22.559999465942383,21.600000381469727,22.110000610351562,17025106
2025-06-06,20.780000686645508,22.260000228881836,20.700000762939453,22.18000030517578,24163900
2025-06-09,20.59000015258789,21.360000610351562,20.510000228881836,20.780000686645508,16976600
2025-06-10,19.440000534057617,20.790000915527344,19.350000381469727,20.59000015258789,27233300
2025-06-11,19.290000915527344,19.649999618530273,19.170000076293945,19.600000381469727,15387500
2025-06-12,19.950000762939453,20.399999618530273,18.8799991607666,19.280000686645508,25438781
2025-06-13,19.229999542236328,20.329999923706055,19.040000915527344,19.8700008392334,16170475
2025-06-16,19.229999542236328,19.40999984741211,18.8799991607666,19.100000381469727,8950600
2025-06-17,19.09000015258789,19.299999237060547,18.920000076293945,19.15999984741211,7667548
2025-06-18,19.030000686645508,19.209999084472656,18.600000381469727,19.09000015258789,10239300
2025-06-19,18.3799991607666,19.290000915527344,18.299999237060547,18.940000534057617,13713980
